RSV-0010;18-5-2024;3;ALO-0001;66666666;PSE;17-5-2024;600000;Hist 10
RSV-0009;10-5-2024;2;ALO-0002;77777777;PSE;9-5-2024;360000;Hist 9
RSV-0008;1-5-2024;5;ALO-0003;88888888;PSE;30-4-2024;875000;Hist 8
RSV-0007;25-4-2024;4;ALO-0004;99999999;TCredito;24-4-2024;880000;Hist 7
RSV-0006;15-4-2024;2;ALO-0005;11111111;PSE;14-4-2024;320000;Hist 6
RSV-0005;2-3-2024;6;ALO-0006;22222222;PSE;1-3-2024;1.26e+06;Hist 5
RSV-0004;10-12-2023;3;ALO-0007;33333333;TCredito;9-12-2023;420000;Hist 4
RSV-0003;1-10-2023;2;ALO-0008;44444444;PSE;30-9-2023;380000;Hist 3
RSV-0002;15-7-2023;4;ALO-0009;55555555;PSE;14-7-2023;700000;Hist 2
RSV-0001;2-4-2023;3;ALO-0012;66666666;TCredito;1-4-2023;495000;Hist 1
